RU/UK,EN
fk кривбас кривий ріг,fk krivbass kryviy rih
кривбас кривий ріг,kryvbas kryvy rih
фк кривбас,fc kryvbas
punch,punch
панч,punch
нігер,niger
міністерство внутрішніх справ сша,us department of the interior
таллінн,tallinn
технологія,technology
дождь,it's raining
моссад,mossad
мосад,mossad
симферопіль,simferopol
симферополь,simferopol
сімферопіль,simferopol
аксьонов сергій валерійович,aksenov sergey valerievich
сергій валерійович аксьонов,serhiy valerievich aksenov
старобільськ,starobilsk
старобельськ,starobelsk
старобільське,starobilskaya
дейл,dale
google maps,google maps
фрідріх паулюс,friedrich paulus
паулюс фрідріх,paulus friedrich
кримське ханство,crimean khanate
кримська орда,crimean horde
кримський ханат,crimean khanate
непал,nepal
business insider,business insider
щастя,happiness
росіяни в україні,russians in ukraine
дніпро,dnieper
борисфен,borisfen
данапр,danapr
дніпр,dnipro
дніпро-славута,dnipro-slavuta
славутич,slavutych
netscape communications,netscape communications
євангеліст марко,evangelist marko
апостол марк,apostle mark
апостол марко,apostle mark
євангелист марк,evangelist mark
євангелист марко,evangelist marko
євангеліст марк,evangelist mark
св. марко,st. mark
святий марк,st. mark
святий марко,st. mark
марк,mark
марко,marko
лютий,february
лютого,february
google earth,google earth
операція «кондор»,operation condor
литвиненко олександр вальтерович,litvinenko alexander valterovich
литвиненко олександр,litvinenko alexander
олександр вальтерович литвиненко,oleksandr walter litvinenko
олександр литвиненко,alexander litvinenko
бантустан,bantuan
корейська народно-демократична республіка,korean people's democratic republic
кндр,dprk
північна корея,north korea
караван,caravan
рада з міжнародних відносин,council for international relations
рада національної безпеки сша,us national security council
лоуелл,lowell
тель-авів-яфо,tel aviv-yafo
тель-авів,tel aviv
тель-авів-яффа,tel aviv-jaffa
тель-авів-яффо,tel aviv-jaffa
тель-авів—яффа,tel aviv-jaffa
тель-авів—яффо,tel aviv-jaffa
стокова фотографія,stock photo
газета.ru,gazeta.ru
сірос,siros
бетмен,batman
mpeg transport stream,mpeg traffic stream
гута,guta
парламентська асамблея організації з безпеки і співробітництва в європі,parliamentary assembly of the organization for security and cooperation in europe
коммерсантъ,kommersant
пакистан,pakistan
ісламська республіка пакистан,islamic republic of pakistan
запоріжжя,zaporizhzhia
олександрівськ,aleksandrovsk
аль-джазіра,al jazeera
фольксваген,volkswagen
cbs,cbs
делі,delhi
білл клінтон,bill clinton
key,key
слов'янськ-на-кубані,slavic-on-kuban
захаров володимир євгенович,zakharov vladimir yevgenovich
едеса,edessa
діалог,dialogue
лондонське сіті,london city
рогозін дмитро олегович,rogozin dmitry olegovich
дмитро рогозін,dmitry rogozin
федеральний уряд сша,us federal government
бродвейський театр,broadway theater
грабова,grabova
штучний інтелект,artificial intelligence
смоляніново,smolyaninovo
миколай японський,nicholas japanese
архангел михайло,archangel mikhail
архагел михайло,archangel mikhail
архистратиг михайло,archangel mikhail
архістратиг михайло,archangel michael
михайло,mykhailo
святий архістратиг михайло,st. archangel michael
святий михайло,st. michael
аваков арсен георгійович,avakov arsen georgievich
арсен георгійович аваков,arsen georgievich avakov
рух до соціалізму,movement towards socialism
ed,ed
середній схід,middle east
бандера степан андрійович,bandera stepan andreevich
степан андрійович бандера,stepan andreevich bandera
міллерове,millerov
швейцарія,switzerland
ch,ch
🇨🇭,🇨🇭
confœderatio helvetica,confrediadio helvetica
schweiz,schweiz
sui,sui
suisse,suisse
svizra,sweets
svizzera,svizzera
гельветійська конфедерація,helvetia confederation
гельвеція,helvetia
конфедерація гельвеція,confederation helvetia
швайцарія,schweizer
швайцарська конфедерація,swiss confederation
швейцарська конфедерація,swiss confederation
косово,kosovo
республіка косово,republic of kosovo
notam,notam
ігор всеволодович гіркін,igor vsevolodovich girkin
гіркін ігор,girkin igor
гіркін ігор всеволодович,girkin igor vsevolodovich
гі́ркін і́гор все́володович,girkin igor vsevolodovich
і́гор все́володович гі́ркін,igor vsevolodovich girkin
ігор іванович стрєлков,igor ivanovich strelkov
стрєлков ігор,strelkov igor
стрєлков ігор іванович,strelkov igor ivanovich
діонісій паризький,dionysius paris
португалія,portugal
португальська республіка,portuguese republic
греція,greece
педру i,pedro i
червона площа,red square
красная площа,red square
угорщина,hungary
мадярщина,madaria region
балаклава,balaklava
раду iii вродливий,radu iii wonderful
міжнародний комітет червоного хреста,international committee of the red cross
хрустальний,crystal
красний луч,krasny ray
криндачівка,kryndachivka
рашка,rasha
марвін мінський,marvin minsky
марвін лі мінський,marvin lee minsky
марвін мінскі,marvin minsky
мінскі марвін,minski marvin
мінський марвін лі,minsk marvin lee
лукашенко олександр григорович,lukashenko alexander grigorievich
кабінет міністрів,cabinet
рівне,rivne
ровно,exactly
луп i,magnifier i
луценко євген валентинович,lutsenko yevgeny valentinovich
євген луценко,yevhen lutsenko
бендери,bendery
тигіна,tigina
тиґіна,tigina
тігіна,tigina
тіґіна,tigina
тягиня,tiagina
король артур,king arthur
артур,arthur
артур король,arthur king
livejournal,livejournal
live journal,live journal
жж,learn
живий журнал,alive magazine
еней,aeneas
чечня,chechnya
мазур станіслав,mazur stanislav
західне узбережжя сша,west coast usa
аббас i великий,abbas i great
абас i,abas i
ушаков федір федорович,ushakov fedor fedorovich
ушаков федір,ushakov fedor
федір ушаков,fedir ushakov
федір федорович ушаков,fedor fedorovich ushakov
люксембург,luxembourg
велике герцогство люксембург,grand duchy of luxembourg
люксембурґ,luxemburg
іран-контрас,iran-contras
ростов-на-дону,rostov-on-don
павлов іван петрович,pavlov ivan petrovich
іван павлов,ivan pavlov
велике князівство московське,the grand duchy of moscow
велике московське князівство,great moscow principality
вкм,vkm
московське князівство,moscow principality
оріон,orion
русі,russia
відень,vienna
державна дума російської імперії,state duma of the russian empire
волл-стрит джорнел,wall street jornell
волл-стріт джернал,wall street journal
волл-стріт джернел,wall street jernel
уолл-стрит джорнал,wall street journal
уолл-стрит джорнел,wall street jornel
тимошенко юлія володимирівна,tymoshenko julia volodymyrivna
грігян,grigyan
грігян юлія,grigian julia
грігян юлія володимирівна,grigyan yulia volodymyrivna
тимошенко юлія,tymoshenko julia
юлія володимирівна грігян,yulia volodymyrivna grigyan
юлія володимирівна тимошенко,yulia tymoshenko
юлія григян,julia grigyan
юлія грігян,julia grigyan
українці,ukrainians
українська нація,ukrainian nation
вкраїнець,the visitor
вкраїнці,in ukraine
українець,ukrainian
україноруський народ,ukrainian people
україноруські,ukrainian russian
україноруські люди,ukrainian people
українство,ukrainians
фракія,thrace
тракія,trakai
німецька хвиля,german wave
deutsche welle,deutsche welle
німецька xвиля,german xvilya
київський палац спорту,kiev palace of sports
палац спорту,sports palace
палац спроту,palace of opposition
місяць,month
дністер,the dniester
данастріс,danastris
ністру,nistru
берлін,berlin
третій рейх,third reich
третій райх,third reich
третя держава,third state
третя імперія,third empire
шон леннон,sean lennon
єхиднові,echidna
американський імперіалізм,american imperialism
adobe systems,adobe systems
adobe,adobe
adobe systems incorporated,adobe systems incorporated
роршах герман,rorschach herman
корейський півострів,korean peninsula
массачусетс,massachusetts
ярослав мудрий,yaroslav the wise
ярослав володимирович,yaroslav vladimirovich
мудрий ярослав,wise yaroslav
ярослав i володимирович,yaroslav i volodymyrovych
ярослав і мудрий,yaroslav the wise
неприбуткова організація,non-profit organization
некомерційна організація,non-profit organization
непідприємницька організація,non-profit organization
неприбуткові організації,non-profit organizations
основна діяльність неприбуткових організацій,the main activity of non-profit organizations
сс,ss
schutzstaffel,schutzstaffel
ss,ss
руська піч,russian stove
фонд карнеґі за міжнародний мир,carnegie foundation for international peace
фонд карнегі,carnegie foundation
смерч,tornado
джон маккейн,john mccain
мак-кейн джон,mckean john
маккейн джон,mccain john
міністерство закордонних справ росії,ministry of foreign affairs of russia
армата,armat
банк кіпру,bank of cyprus
кокорін олександр олександрович,kokorin aleksandrovich
австралоазія,australasia
ураган катріна,hurricane katrina
українські новини,ukrainian news
аравійський півострів,arabian peninsula
аравія,arabia
якименко олексій андрійович,yakimenko alexei andreevich
кучма леонід данилович,kuchma leonid danilovich
леонід данилович кучма,leonid danilovich kuchma
леоні́д дани́лович ку́чма,leonid danilovich kuchma
воронов микола миколайович,voronov nikolay nikolaevich
ріг,horn
чорне море,black sea
беліз,belize
британський гондурас,british honduras
демократична партія сша,us democratic party
демократична партія сполучених штатів америки,democratic party of the united states of america
платан,sycamore
the cars,the cars
вулиця хрещатик,khreshchatyk street
вулиця хрещатик (київ),khreshchatyk street (kiev)
токіо,tokyo
метрополія токіо,metropolitan tokyo
префектура токіо,tokyo prefecture
токіо метрополіс,tokyo metropolis
південно-африканська республіка,south african republic
південна африка,south africa
пар,south africa
gfk se,gfk se
перу,peru
боснія,bosnia
українська держава,ukrainian state
гетьманат,hetmanate
гетьманський режим,hetman's regime
уд,ud
українська держава гетьмана скоропадського.,ukrainian state hetman skoropadsky.
саддам хусейн,saddam hussein
первомайське сільське поселення (виборзький район),pervomaysk village settlement (vyborg district)
йосип з назарета,joseph of nazareth
йосип з назарету,joseph of nazareth
йосип обручник,joseph obraznik
йосиф обручник,joseph obraznik
святий йосип,st. joseph
святий йосиф,st. joseph
літак,plane
повітряні сили збройних сил україни,air forces of the armed forces of ukraine
повітряні сили україни,air forces of ukraine
тарнопільська область,tarnopolskaya oblast
тарнопольська область,tarnopolskaya oblast
тернопільщина,ternopil region
коста-рика,costa rica
нижній новгород,nizhny novgorod
індійський технологічний інститут в руркі,indian technological institute in rurki
s7 airlines,s7 airlines
діма,dima
12-годинний формат часу,12-hour time format
хрестівка,crosspiece
кіровське,kirovske
кіровське (донецька область),kirovske (donetsk region)
кіровське (місто),kirovske (city)
елвіс преслі,elvis presley
точка,point
точка-у,point-u
міністерство юстиції сша,us department of justice
роберт серрі,robert serry
кувейт,kuwait
парламентська асамблея ради європи,parliamentary assembly of the council of europe
парламентська асамблея,parliamentary assembly
золоте,golden
міжнародний інститут стратегічних досліджень,international institute for strategic studies
федеральна поліція австралії,australian federal police
кабінет міністрів україни,cabinet of ministers of ukraine
державний устрій україни,state system of ukraine
км україни,km of ukraine
кму,cabinet of ministers
український уряд,ukrainian government
уряд україни,government of ukraine
баб-ель-хава (пункт пропуску),bab el hawa (checkpoint)
msnbc,msnbc
british european airways,british european airways
траян бесеску,traian basescu
траян басеску,traian basescu
газі i,gaza i
"ват ""газпром""",gazprom ojsc
ват «газпром»,gazprom ojsc
ґазпром,gazprom
чак гейгель,chuck geiger
група сімох,simoch group
новоазовськ,novoazovsk
темрюк,temryuk
гардіан,guardian
guardian.co.uk,guardian.co.uk
manchester guardian,manchester guardian
the guardian,the guardian
ґардіан,garcia
манчестер гардіан,manchester guardian
благовіщення,annunciation
блага вість,good news
блага звістка,good news
блага новина,good news
благе віщення,good news
благовість,the gospel
благозвіщення,nausea
добра вість,good news
добра звістка,good news
добра новина,good news
добре звіщення,good announcement
євангелія,the gospel
інджил,injil
гірнича справа,mining
гірництво,mining
кім чен ин,kim jong ying
оболонський район,obolonsky district
херсон,kherson
поділ,divide
міжнародний аеропорт «київ»,"international airport ""kyiv"""
аеропорт «київ»,kyiv airport
аеропорт жуляни,zhulyany airport
азов,azov
медан,medan
збірна снд з футболу,cis national football team
дініш i,dish i
шойгу сергій кужугетович,shoigu sergey kuzhugetovich
сергій кужугетович шойгу,serhiy kuzhugetovich shoigu
сергій шойгу,sergei shoigu
the sun,the sun
словаччина,slovakia
керамікос,ceramics
toyota,toyota
сокіл,falcon
міюс,miyus
збірна росії з футболу,russian national football team
футбольна збірна росії,russian national football team
пушков олексій костянтинович,pushkov alexei konstantinovich
владикавказ,vladikavkaz
всеукраїнське об'єднання «батьківщина»,"all-ukrainian association ""batkivshchyna"""
"во ""батьківщина""","in ""batkivshchyna"""
во «батьківщина»,batkivshchyna
во батьківщина,in the motherland
"всеукраїнське об'єднання ""батьківщина""","all-ukrainian association ""batkivshchyna"""
всеукраїнське об'єднання батьківщина,all-ukrainian association motherland
"всеукраїнське об’єднання ""батьківщина""","all-ukrainian association ""batkivshchyna"""
всеукраїнське об’єднання «батьківщина»,"all-ukrainian association ""batkivshchyna"""
"всеукраїнське об`єднання ""батьківщина""","all-ukrainian association ""batkivshchyna"""
міжнародний олімпійський комітет,international olympic committee
international olympic committee,international olympic committee
мок,ioc
daily express,daily express
булат (метал),bulat (metal)
борис i михайло,boris i michael
борис і михайло,boris i mikhail
джемілєв мустафа,dzhemilev mustafa
джемілев,dzhemilev
джемілев мустафа,dzhemilev mustafa
джемілєв,dzhemilev
джемільов,dzhemilov
мустафа джемілев,mustafa dzhemilev
мустафа джемілєв,mustafa dzhemilev
мустафа джемільов,mustafa dzhemilov
детонація,detonation
перм,perm
корея,korea
роман,novel
жуков георгій костянтинович,zhukov georgiy konstantinovich
георгій жуков,georgy zhukov
георгій костянтинович жуков,georgy konstantinovich zhukov
жуков георгій,zhukov georgiy
маршал жуков,marshal zhukov
tabloid.pravda.com.ua,tabloid.pravda.com.ua
історична правда,historical truth
міністерство оборони російської федерації,ministry of defense of the russian federation
українська національна асамблея,ukrainian national assembly
українська національна солідарна організація,ukrainian national solidarity organization
анна герман,anna herman
герман анна вікторія,herman anna victoria
коктебель,koktebel
сіверський донець,siversky donets
донець,donets
північний донець,north donose
сіверський дінець,siversky dinets
президія верховної ради срср,presidium of the supreme soviet of the ussr
східна європа,eastern europe
кіровськ,kirovsk
киргизстан,kyrgyzstan
джулія бішоп,julia bishop
польська військова організація,polish military organization
польська організація військова,polish military organization
орджонікідзевський район,ordzhonikidzevsky district
великий лебовські,great lubovsky
великий лебовський,great lebovsky
саломія,salome
ніконов в'ячеслав олексійович,nikonov vyacheslav oleksiyovych
ніцца,nice
андерс фог расмуссен,anders fogh rasmussen
сьєрра-леоне,sierra leone
юґа,yuga
юга,the south
кличко віталій володимирович,klitschko vitaly vladimirovich
віталій володимирович кличко,vitaliy vladimirovich klitschko
віта́лій володи́мирович кличко́,vitaliy vladimirovich klitschko
кличко віталій,klitschko vitaliy
арабська республіка єгипет,arab republic of egypt
олівер кромвель,oliver cromwell
кромвель олівер,cromwell oliver
fiat,fiat
балканський півострів,balkan peninsula
балкани,balkans
німецька демократична республіка,german democratic republic
всесвітня організація охорони здоров'я,world health organization
день перемоги,victory day
9 травня,may 9th
клюєв микола олексійович,klyuev nikolay alekseevich
9к57 «ураган»,"9k57 ""hurricane"""
порт-о-пренс,port-au-prince
canada,canada
національна фашистська партія,national fascist party
usaid,usaid
агентство сша з міжнародного розвитку,united states agency for international development
бутусов василь павлович,butusov vasily pavlovich
бундестаг,bundestag
бундестаґ,bundestag
бундестаг фрн,bundestag of the federal republic of germany
бундестагу,bundestag
німецький бундестаг,german bundestag
німецький парламент,german parliament
парламент німеччини,parliament of germany
ольга миколаївна (велика княжна),olga nikolaevna (great princess)
столиця,capital
столиці,the capital
наливайченко валентин олександрович,nalyvaichenko valentin aleksandrovich
валентин налівайченко,valentin nalyvaichenko
малкольм тернбулл,malcolm turnbull
військово-морський флот росії,russian navy
парана,parana
празеодим,praseodymium
pr,pr
фенілаланін,phenylalanine
іспанія,spain
королівство іспанія,kingdom of spain
еспанія,spain
техсіл,techsil
мандал,mandala
талук,taluk
сеул,seoul
ліга польських родин,league of polish families
сталін йосип віссаріонович,stalin joseph vissarionovich
raidió teilifís éireann,raidió teilifís éireann
андрій первозваний,andrew pervozvanny
андрій святий,andrew the holy
апостол андрій,apostle andrew
первозванний андрій,first-born andrew
святий андрій,st. andrew
сергій олександрович,sergey alexandrovich
нікколо мак'явеллі,niccolo maciavelli
нікколо макіавеллі,niccolo machiavelli
нікколо макіявеллі,niccolo machiavelli
нікольо мак'явеллі,nicole macavelle
нікольо макіявеллі,nikollo machiavelli
сектор гази,gaza strip
сектор газа,gaza strip
сектор ґаза,gaza sector
смуга газа,strip of strip
смуга гази,gaza strip
празька весна,prague spring
мідан тахрір,midan tahrir
ебро,ebro
українська армія,ukrainian army
українські збройні сили,ukrainian armed forces
шевченко андрій миколайович,shevchenko andrey nikolaevich
андрій миколайович шевченко,andriy shevchenko
дуглас,douglas
пітерсбург,pietersburg
марк рутте,mark rutte
балабанова анжеліка ісаківна,balabanova angelica isakivna
державна дума російської федерації,state duma of the russian federation
державна дума росії,state duma of russia
державна дума рф,state duma of the russian federation
держдума росії,state duma of russia
парламент росії,parliament of russia
amazon.com,amazon.com
amazon,amazon
начос,fleece
еріх кох,erich koch
кох еріх,koch erich
республіка південної осетії,republic of south ossetia
цхінвальський регіон,tskhinvali region
самачабло,samachablo
даля грибаускайте,dal grybauskaite
грибаускайте даля,gribauskaite dal
грібаускайте даля,gribauskaite dahl
луан,luan
міська поліція лондона,city police of london
інвестиційний активіст,investment activist
франкенштейн,frankenstein
львівщина,lviv region
грушевий сидр,perry
марк твен,mark twain
курськ,kursk
тиса,tisza
тіса,tisza
нью-йорк,new york
борджіа,borgia
кобзарство,kobzarstvo
південно-східна англія,southeast england
республіка абхазія,republic of abkhazia
сибір,siberia
берег (географія),shore (geography)
берег,bank
узбережжя,coast
берег каналу,shore the canal
берег річки,riverbank
пляж,beach
медведєв дмитро анатолійович,medvedev dmitry anatolyevich
дмитро анатолійович медведєв,dmitry anatolievich medvedev
дмитро медвєдєв,dmitry medvedev
дмитро мєдвєдєв,dmitry medvedev
дмітрій мєдвєдєв,dmitry medvedev
медведєв дмитро,medvedev dmitry
мєдвєдєв дмітрій анатольєвіч,medvedev dmitry anatolyevich
янукович олександр вікторович,yanukovych alexander v.
янукович олександр,yanukovych alexander
острогозьк,ostrogozh
ruta,ruta
хорватія,croatia
алі ібн абу таліб,ali ibn abu talib
абу аль хасан,abu al hassan
алі ібн абі таліб,ali ibn abi talib
амір аль мумінін,amir al muminin
биринчи ali,birinchi ali
халіф алі,khalif ali
кулон,coulomb
кл,cl
андорра,andorra
верховний суд сша,supreme court of the united states
ліберально-демократична партія росії,liberal-democratic party of russia
лдпр,ldpr
цвях,nail
гвіздок,gvizdok
сд,sd
служба безпеки,security
олег віщий,oleg vichy
александр македонський,alexander the macedonian
александр великий,alexander the great
мао цзедун,mao zedong
келлі ейотт,kelly eyott
справедлива росія,fair russia
ельзас,alsace
повітряне судно,aircrafts
гамбург,hamburg
зугрес,zugres
чуркін віталій іванович,churkin vitali ivanovich
.30-06 springfield,.30-06 springfield
пентагон,pentagon
поль валері,paul valerie
валері,valerie
колумбія,colombia
коламбія,columbia
фредерік ештон,frederic ashton
ештон фредерік,ashton frederic
фредерик ештон,frederick ashton
маямі марлінс,miami marlins
флорида марлінс,florida marlins
анкара,ankara
володимир бут,vladimir but
оттавський університет,ottawa university
університет оттави,university of ottawa
роберт фолкон скотт,robert folk scott
роберт скотт,robert scott
скотт роберт,scott robert
скотт роберт фолкон,scott robert folk
дубай,dubai
вазиристан,waziristan
микола i,nicholas i
імператор микола і,emperor nicholas i.
микола i романов,nicholas i romanov
микола і,nicholas i.
блок петра порошенка «солідарність»,"pyotr poroshenko's block ""solidarity"""
солідарність,solidarity
блок петра порошенка,petro poroshenko's block
рон пол,ron paul
оттава,ottawa
шахтарськ,shakhtarsk
шахтарське,miner's
бірмінгем,birmingham
сайгак,saigak
сухой (компанія),dry (company)
лестер,leicester
павло анатолійович клімкін,pavel anatolyevich klimkin
західна німеччина,west germany
помірна коаліційна партія (швеція),moderate coalition party (sweden)
кримська криза,crimean crisis
події у криму в лютому — березні 2014,events in crimea in february - march 2014
кінематограф сша,cinema usa
хрущов микита сергійович,khrushchev nikita sergeevich
м. хрущов,m. khrushchev
микита сергійович хрущов,nikita sergeyevich khrushchev
микита хрущів,nikita khrushchev
микита хрущов,nikita khrushchev
хрущов,khrushchev
хрущов микита,khrushchev nikita
netflix,netflix
араби,arabs
монтесума ii,montezuma ii
чорногорія,montenegro
олексій михайлович,alexey mikhailovich
станція метрополітену,underground station
станція підземки,subway station
горбачов михайло сергійович,gorbachev mikhail sergeevich
горбачов михайло,gorbachev mikhail
м. горбачов,m. gorbachev
м. с. горбачов,ms gorbachev
м.с.горбачов,ms gorbachov
михайло сергійович горбачов,mikhail sergeevich gorbachev
міжнародна асоціація повітряного транспорту,international air transport association
франциск i,francis i
югославія,yugoslavia
юґославія,yugoslavia
югославія союзна республіка,yugoslavia union republic
демократична федеративна югославія,democratic federal yugoslavia
червона армія,red army
марсе,mars
інтер,inter
російська православна церква,russian orthodox church
всеруська православна церква,wsróra orthodox church
московський патріархат вселенської православної церкви,moscow patriarchate of the universal orthodox church
російська православна церков,n orthodox churches
рпц,roc
єкатеринбург,yekaterinburg
бермудські острови,bermuda
бермуди,bermudas
борис акунін,boris akunin
акунін борис,akunin boris
чхартишвілі григорій шалвович,chkhartishvili grigory shalvovich
калинівка,kalinovka
козаки,cossacks
козацтво,cossacks
українське козацьке вiйсько,ukrainian cossack war
малоросійські козаки,little russian cossacks
українське козацтво,ukrainian cossacks
чехословаччина,czechoslovakia
чехо-словацька республіка,czech republic-slovak republic
чехо-словацька федеративна республіка,czechoslovakia federal republic
чехо-словаччина,czechoslovakia
чехословацька республіка,czechoslovak republic
чср,chrs
чсср,czechoslovakia
чорноморський флот російської федерації,black sea fleet of the russian federation
чф рф,black sea fleet of the russian federation
фріц ланг,fritz lang
фріц ланґ,fritz lang
таганрог,taganrog
таганріг,taganrog
варшава,warsaw
луценко юрій віталійович,lutsenko yuriy vitaliyovych
луценко юрій,lutsenko yuri
юрій віталійович луценко,yuri vitaliyovych lutsenko
нью-йоркська фондова біржа,new york stock exchange
військово-морські сили сша,us navy
бельбек,belbek
авіабаза бельбек,airbase belbek
"міжнародний аеропорт ""бельбек""",belbek international airport
ірландська королівська академія,irish royal academy
міст між сан-франциско і оклендом,the bridge between san francisco and auckland
лента.ru,lenta.ru
lenta.ru,lenta.ru
лента.ру,lenta.ru
mazda,mazda
стрий,stry
гілларі клінтон,hillary clinton
vas,vas
бар,bar
швеція,sweden
королівство швеція,kingdom of sweden
міде,mide
програма оон по навколишньому середовищу,un environment program
юнеп,unep
лівія,libya
білоруська народна республіка,belarusian people's republic
бнр,bnr
бунге,bungea
білий максим іванович,white maxim ivanovich
партія національного прогресу,party of national progress
герберт спенсер,herbert spencer
кириленко марія юріївна,kirilenko maria yuriyivna
кінгс-коледж,kings college
осетія,ossetia
західний регіон,the western region
сухопутні війська російської федерації,ground forces of the russian federation
лос-анджелес,los angeles
лос-анжелес,los angeles
чилі,chile
чілі,chile
maxim reality,maxim reality
кіт палмер,cat palmer
карлос менем,carlos menem
карлос сауль менем,carlos saul menem
менем карлос,menem carlos
трудові ресурси,workforce
кременчук,kremenchug
бондарчук сергій федорович,bondarchuk sergey fedorovich
бондарчук сергій,bondarchuk sergey
сергій бондарчук,sergey bondarchuk
сергій федорович бондарчук,sergey fedorovich bondarchuk
мохаве,mohawa
яїк,yaich
каліфорнійський університет у сан-франциско,california university of san francisco
франц кафка,franz kafka
джордж герберт вокер буш,george herbert walker bush
джордж буш,george bush
буш джордж герберт вокер,bush george herbert walker
буш джордж герберт уокер,bush george herbert walker
буш джордж старший,george bush is the eldest
джордж буш старший,george bush sr.
джордж буш-старший,george bush sr.
джордж герберт уокер буш,george herbert walker bush
коала сірий,koala gray
блеквотер,blackwater
blackwater,blackwater
academi,academic
xe services,xe services
юрі,yuri
університеті розвитку людини україна,university of human development ukraine
індійський океан,indian ocean
бориспіль,borispol
марков сергій олександрович,markov sergey aleksandrovich
сергій марков,sergey markov
пушкін олександр сергійович,pushkin alexander sergeevich
бразиліа,brasilia
дон,don
дідьє буркгальтер,didier burkhalter
singapore airlines,singapore airlines
біньямін нетаньягу,benyamin netanyahu
біньямін нетаньяху,benyamin netanyahu
блок юлії тимошенко,block of yulia tymoshenko
албанія,albania
республіка албанія,republic of albania
південна україна,southern ukraine
південь україни,south of ukraine
техас,texas
tx,tx
штат техас,texas
петровський (стадіон),petrovsky (stadium)
нью-йоркський університет,new york university
володимирська,volodymyrska
російська радянська федеративна соціалістична республіка,russian soviet federative socialist republic
російська рфср,n rfsr
ррфср,the rsfsr
карл більдт,carl bildt
реформістський юдаїзм,reformist judaism
дрезден,dresden
туреччина,turkey
турецька республіка,turkish republic
турція,turkey
міг,could
алатау,alatau
наґасакі,nagasaki
нагасакі,nagasaki
окупація японії,occupation of japan
монгольська імперія,mongolian empire
винищувач,destroyer
attack aircraft,attack the aircraft
антонін скаліа,antonin skaliya
el al,el al
ель аль,el al
нижньогородська область,nizhny novgorod region
об'єднаний комітет начальників штабів сша,joint chiefs of staff united states
алабама,alabama
american broadcasting company,american broadcasting company
ірландія,ireland
ірландська республіка,irish republic
ірляндія,irlandia
республіка ірландія,republic of ireland
слов'яни,slavs
слов'янин,slav
слов'янські племена,slavic tribes
слов’яни,slavs
словяни,slovyans
акин,akin
каліново,kalinovo
національна баскетбольна асоціація,national basketball association
air india,air india
21st century fox,21st century fox
аконкаґуа,aconcagua
аконкагуа,aconcagua
руїни,ruins
руїна,ruin
залишки споруди,the remnants of the building
липецьк,lipetsk
біпатрид,bipadrid
біпатриди,bipadrid
подвійне громадянство,dual citizenship
абакан,abakan
росавіація. відкриті дані,rosaviazioni open data
александер гамілтон,alexander hamilton
александер гамільтон,alexander hamilton
гамілтон александер,hamilton alexander
гамільтон олександр,hamilton alexander
олександр гамільтон,alexander hamilton
гленн реш,glenn resh
сирійська православна церква,syrian orthodox church
кутузов михайло ілларіонович,kutuzov mikhail illarionovich
кутузов михайло іларіонович,kutuzov mikhail ilarionovich
михайло кутузов,michael kutuzov
png,png
.png,.png
portable network graphics,portable network graphics
дональд трамп,donald trump
трамп дональд,trump donald
дугін олександр гелійович,dugin alexander helievich
дугін,dugin
дугін олександр,dugin alexander
дугін олександр гельйович,dugin oleksandr helievich
олександр гелійович дугін,alexander heliyovich dugin
олександр гельйович дугін,alexander gelyovich dugin
олександр дугін,alexander dugin
святослав ігорович,svyatoslav igorovich
святослав i,svyatoslav i
святослав ігоревич,svyatoslav igorevich
святослав хоробрий,svyatoslav the brave
geo,geo
марта ґрем,martha graham
грем марта,graham martha
ґрем марта,graham martha
манмоган сінґх,manmagan singh
манмохан сінгх,manmohan singh
манмохан сінґх,manmohan singh
електричний опір,electrical resistance
зовнішній опір,external resistance
римська африка,roman africa
джуліан ассанж,julian assange
джу́ліан пол асса́нж,julian paul assange
lexus,lexus
вільна сирійська армія,free syrian army
массачусетський технологічний інститут,massachusetts institute of technology
mit,mit
мті,mti
блок олександр олександрович,block aleksandr aleksandrovich
блок олександр,block alexander
олександр блок,alexander blok
олександр олександрович блок,oleksandr aleksandrovich blok
метрополітен-опера,metropolitan opera
невада,harmlessness
odnoklassniki,odnoklassniki
однокласники,classmates
однокласники.ru,classmates.ru
одноклассники,classmates
одноклассники.ru,odnoklassniki.ru
одноклассники.ру,odnoklassniki.ru
джованні дельфіно,giovanni dolphino
дельфіно джованні,dolphino giovanni
всесвітнє антидопінгове агентство,world anti-doping agency
веллінгтон,wellington
херсонська область,kherson region
херсонщина,kherson region
джон фітцджеральд кеннеді,john fitzgerald kennedy
джон кеннеді,john kennedy
бостон,boston
багаття,bonfire
росія-24,russia-24
кіркенес,kirkenes
adobe premiere pro,adobe premiere pro
малюк,baby
little boy,little boy
санта-клаус,santa claus
ємен,yemen
макаренко антон семенович,makarenko anton semenovich
антон макаренко,anton makarenko
антон семенович макаренко,anton semenovich makarenko
макаренко антон,makarenko anton
ракета,rocket
жозе мануел дурау баррозу,josé manuel durau barroso
директор національної розвідки,director of national intelligence
протокол бездротових програм,wireless application protocol
wap,wap
wap 2.0,wap 2.0
технологія wap,wap technology
герберт саймон,herbert simon
саймон герберт,simon herbert
федеральна розвідувальна служба німеччини,federal intelligence service of germany
брід,ford
болгарія,bulgaria
республіка болгарія,republic of bulgaria
альфа центавра,alpha centauri
ель-айн,el ain
ацік,azik
korean air,korean air
приватбанк,privatbank
іл-76,il-76
