RU/UK,EN
вена,vein
краснода́рский край,krasnodar region
государственная дума российской империи,state duma of the russian empire
wsj.com,wsj.com
уолл стрит джорнал,wall street journal
уолл стрит джорнел,wall street journal
уолл стрит джорнэл,wall street journal
уолл-стрит джорнал,wall street journal
уолл-стрит джорнел,wall street journal
юлия владимировна тимошенко,yulia tymoshenko
yulia tymoshenko,yulia tymoshenko
газовая принцесса,gas princess
григян,grigyan
тимошенко ю.,timoshenko y.
тимошенко ю. в.,timoshenko yu. v.
тимошенко юлия,Tymoshenko Julia
тимошенко юлия владимировна,Tymoshenko Yulia Vladimirovna
тимошенко юля,julia timoshenko
ю. тимошенко,y. tymoshenko
юля тимошенко,yulia tymoshenko
томоки камэда,tomoki kamada
камэда томоки,kameda tomoki
мус,icc
українцї,ukraine
малороссийский народ,little russian people
малорусы,malorussians
народ украины,the people of ukraine
украинка,ukrainian
украинки,ukrainian women
украинский народ,ukrainian people
украйнцы,ukrainians
фракия,thrace
dw-tv,dw-tv
dwelle.de,dwelle.de
дойче веле,deutsche vele
дойче вэле,deutsche vele
киевский дворец спорта,kiev palace of sports
луна,moon
місяць,missia
lunâ,lunâ
берлін,berlin
berlin,berlin
третий рейх,third reich
націстічне нїмецько,німістічне нїмецько
3 рейх,3 reich
райх,reich
рейх,reich
третий райх,third reich
третья держава,third power
третья империя,third reich
шон леннон,sean lennon
sean lennon,sean lennon
леннон шон,lennon shawn
шон оно леннон,sean ono lennon
ехидновые,echidnae
американская империя,american empire
американский империализм,american imperialism
adobe systems,adobe systems
adobe systems incorporated,adobe systems incorporated
герман роршах,herman rorschach
роршах герман,Rorschach German
корейский полуостров,korean peninsula
массачусетс,massachusetts
ярослав владимирович мудрый,yaroslav vladimirovich the wise
ярослав i владимирович,yaroslav i vladimirovich
ярослав мудрый,yaroslav the wise
ярослав i,jaroslav i
ярослав i владимирович мудрый,yaroslav i vladimirovich the wise
ярослав i мудрый,yaroslav i the wise
ярослав i мудрый киевский,yaroslav i the wise kiev
некоммерческая организация,non-profit organization
ngo,ngo
некоммерческие организации,non-profit organizations
некоммерческой организацией,non-profit organization
третий сектор,third sector
schutzstaffel,schutzstaffel
ss waffen,ss waffen
ϟϟ,ϟϟ
эсесовец,esesovets
эсесовцы,esesovtsy
эсэс,ss
эсэсовец,ss man
эсэсовцы,ss men
русская печь,russian stove
литовская печь,lithuanian oven
шесток,shestok
gomez,gomez
фонд карнеги,carnegie foundation
carnegie endowment,carnegie endowment
центр карнеги,carnegie center
emercom,emercom
министерство по чрезвычайным ситуациям,ministry of emergency situations
министерство по чрезвычайным ситуациям россии,russian ministry of emergency situations
министерство чрезвычайных ситуаций российской федерации,ministry of emergency situations of the russian federation
джон маккейн,john mccain
министерство иностранных дел российской федерации,ministry of foreign affairs of the russian federation
мид российской федерации,mfa of the russian federation
министерство иностранных дел россии,russian ministry of foreign affairs
артиллерийские войска,artillery troops
bank of cyprus,bank of cyprus
александр кокорин,alexander kokorin
александр александрович кокорин,alexander alexandrovich kokorin
кокорин александр александрович,kokorin alexander alexandrovich
австралазия,australasia
украинские новости,ukrainian news
аравийский полуостров,arabian peninsula
аравия,arabia
арабия,arabia
аравийский валенок,arabian boots
алексей андреевич якименко,alexey andreevich yakimenko
леонид данилович кучма,leonid danilovich kuchma
николай николаевич воронов,nikolay nikolaevich voronov
воронов н.,voronov n.
воронов н. н.,voronov n.n.
воронов николай николаевич,voronov nikolay nikolaevich
никола́й никола́евич во́ронов,nikolai nikolaevich voronov
рога,horns
australian broadcasting corporation,australian broadcasting corporation
австралийская радиовещательная корпорация,australian broadcasting corporation
чёрное море,black sea
чорне море,black sea
amarea lae,amarea lae
черное море,black sea
понт аксинский,pont aksinsky
понт эвксинский,pont evksinsky
скифское море,scythian sea
белиз,belize
беліз,beliz
belize,belize
демократическая партия,democratic party
демократическая партия сша,us democratic party
демократическая фермерская трудовая партия миннесоты,democratic farmers labor party of minnesota
демократы сша,us democrats
платан,sycamore
platanaceae,platanaceae
platanus,platanus
платановые,plane
платаны,plane trees
the cars,the cars
cars,cars
крещатик,khreshchatyk
улица крещатик,khreshchatyk street
улица крещатик (киев),khreshchatyk street (kiev)
jaguar racing,jaguar racing
токио,tokyo
токіо,tokio
tokyo,tokyo
токё,tokyo
токё-то,tokyo
токио-то,tokyo
южна африка,south africa
юар,south africa
africa di not,africa di not
азания,azania
южно-африканская республика,south africa
республика перу,republic of peru
http live streaming,http live streaming
украинская держава,ukrainian state
второй гетманат,second hetman
гетманат,hetman
гетманат скоропадского,hetmanate of skoropadsky
украинское государство,ukrainian state
саддам хусейн,saddam hussein
саддам хусейн абд аль-маджид ат-тикрити,saddam hussein abd al-majid at-tikriti
первомайское (ленинградская область),pervomayskoe (leningrad region)
автоведение,avtovedenie
автоведение поездов,train trainer
усавп,usavp
иосиф обручник,joseph obruchnik
иосиф древодел,joseph drevodel
иосиф из назарета,joseph of nazareth
иосиф-обручник,joseph the betrothed
святой иосиф,saint joseph
иосиф,joseph
самолёт,aircraft
воздушные силы украины,air force of ukraine
пограничная служба федеральной службы безопасности российской федерации,border service of the federal security service of the russian federation
пограничные войска,border troops
войска кгб,kgb troops
погранвойска россии,border troops of russia
пограничная охрана рсфср,border guard of the rsfsr
пограничная служба федеральной службы безопасности,border service of the federal security service
пограничная служба федеральной службы безопасности россии,border service of the federal security service of russia
пограничная служба фсб россии,border service of the federal security service of russia
пограничная служба фсб рф,border service of the federal security service of the russian federation
пограничные войска россии,russian border troops
пс фсб россии,ps fsb of russia
федеральная пограничная служба россии,federal border service of russia
федеральная пограничная служба российской федерации,federal border service of the russian federation
федеральная пограничная служба фсб россии,federal border service of the federal security service of russia
фпс,fps
фпс россии,fps of russia
тернопольская область,ternopil region
тернопільска область,ternopil region
тарнопольская область,tarnopolskaya region
тернопольщина,ternopil region
costa rica,costa rica
республика коста-рика,republic of costa rica
нижнїй новгород,nizhny novgorod
горький,bitter
карман россии,russian pocket
нижний,lower
столица поволжья,the capital of the volga region
индийский институт технологии,indian institute of technology
iits,iits
lag.,lag.
мариано лагаска и сегура,mariano lagaska and segura
s7 airlines,s7 airlines
сибирь,siberia
s7,s7
s7 приоритет,s7 priority
s7 сибирь,s7 siberia
siberian airlines,siberian airlines
авиакомпания сибирь,siberia airlines
ак сибирь,ak siberia
пао «авиакомпания „сибирь“»,pjsc “siberia airlines”
афтаб шивдасани,aftab shivdasani
12-часовой формат времени,12 hour time format
новая крестовка,new krestovka
элвис пресли,elvis presley
елвіс преслі,elvis presley
elvis presley,elvis presley
элвис аарон пресли,elvis aaron presley
альфа (спецназ),alpha (special forces)
альфа (спецподразделение),alpha (special forces)
группа ”альфа”,group ”alpha”
группа «а» кгб,group a of the kgb
группа «а» кгб ссср,"group ""a"" of the kgb of the ussr"
группа «альфа»,"group ""alpha"""
отряд альфа,alpha squad
точка-у,point-u
трк точка,trk point
кувейт,kuwait
государство кувейт,state of kuwait
лиман,estuary
международный институт стратегических исследований,international institute for strategic studies
iiss,iiss
австралийская федеральная полиция,australian federal police
кабинет министров украины,cabinet of ministers of ukraine
кабмин украины,cabinet of ukraine
кму,cmu
украинское правительство,ukrainian government
институт исследований текста нового завета,new testament text research institute
институт новозаветных текстологических исследований,institute of new testament textual studies
штат,state
statu,statu
баб эль-хава,bab al-hawa
msnbc,msnbc
александр викторович мирошниченко,alexander viktorovich miroshnichenko
александр мирошниченко,alexander miroshnichenko
мирошниченко а.,miroshnichenko a.
мирошниченко а. в.,miroshnichenko a.v.
мирошниченко александр викторович,Miroshnichenko Alexander Viktorovich
sbus,sbus
траян бэсеску,traian basescu
traian bãsescu,traian bãsescu
басеску траян,Bashesku Traian
бэсеску т.,basescu t.
бэсеску траян,basescu traian
траян басеску,traian basescu
гази i,gazi i
gazprom,gazprom
oao «газпром»,oao gazprom
оао «газпром»,"gazprom"""
оао «газпро́м»,"gazprom"""
оао газпром,gazprom
открытое акционерное общество «газпром»,open joint stock company gazprom
пао «газпром»,pjsc gazprom
публичное акционерное общество газпром,public joint stock company gazprom
хэйгел,hagel
хэйгел чак,hagel chuck
чак хагель,chuck hagel
чак хэйгел,chuck hagel
группа семи,group of seven
темрюк,temryuk
темрю́к,temryuk
гардиан,guardian
bukov,bukov
благая весть,good news
четвероевангелие,four gospel
евангелия,gospel
инджил,indil
инджиль,injil
инжил,inzhil
инжиль,inzhil
горное дело,mining
ким чен ун,kim jong un
ким чжон ун,kim jung un
ким чжон ын,kim jung-un
оболонский район,obolonsky district
виктор ратиборский,victor ratiborsky
александр-шанц,alexander-shants
г. херсон,g. kherson
"международный аэропорт ""киев""","international airport ""kiev"""
международный аэропорт «киев»,"international airport ""kiev"""
интернет-цензура в китайской народной республике,internet censorship in the people's republic of china
тана,tana
азак,azak
азо́в,azov
билл струт,bill strut
сборная снг по футболу,cis national football team
мужская сборная снг по футболу,cis men's football team
диниш i,dinish i
диниш португальский,dinis portuguese
диниш,dinish
диниш i земледелец,dinish i farmer
диниш i король-земледелец,dinis i the king-farmer
диниш i король-поэт,dinish i poet king
диниш i король-трубадур,dinis i the troubadour king
диниш i португальский,dinis i portuguese
диниш король-земледелец,dinish king-farmer
диниш король-поэт,dinish king poet
диниш король-трубадур,dinis the troubadour king
сергей кужугетович шойгу,sergey kuzhugetovich shoigu
с. к. шойгу,s.k. shoigu
с. шойгу,s. shoigu
с.к. шойгу,s.k. shoigu
шойгу с.,shoigu s.
шойгу с. к.,shoigu s. k.
шойгу сергей,Shoigu Sergey
шойгу сергей кужугетович,Shoigu Sergey Kuzhugetovich
the sun,the sun
словакия,slovakia
словеньско,slovenian
slovachia,slovachia
slovensko,slovensko
словацкая республика,the slovak republic
словенско,slovenian
toyota,toyota
сокольское движение,sokolsky movement
сборная россии по футболу,russian national football team
сборная,team
мужская сборная россии по футболу,russian national football team
мужская сборная рф по футболу,russian men's national football team
национальная сборная российской федерации по футболу,russian national football team
сборна россии по футболу,russian national football
сборная рф по футболу,russian national football team
kp.ru,kp.ru
комсомо́льская пра́вда,tvnz
кипр,cyprus
ціпрус,cіprus
chipro,chipro
республика кипр,republic of cyprus
алексей константинович пушков,alexey konstantinovich pushkov
пушков алексей константинович,guns Alexey Konstantinovich
новые земли германии,new lands of germany
орджоникидзе,ordzhonikidze
дзауджикау,dzaudzhikau
международный олимпийский комитет,international olympic committee
аносовская сталь,anosovskaya steel
борис i,boris i
боріс i.,boris i.
хан борис,khan boris
джемилев кырымоглу,dzhemilev kyrymoglu
джемилев мустафа,jamil mustafa
кырымоглу,kyrymoglu
мустафа кырымоглу,mustafa kırimoglu
пуцин,puqin
детонация,detonation
пермь,permian
молотов,molotov
иллюминаты,illuminati
георгий константинович жуков,george konstantinovich zhukov
фефелов,fefelov
г. жуков,g. zhukov
г. к. жуков,g. k. zhukov
г.к. жуков,g.k. zhukov
жуков г.,zhukov g.
жуков г. к.,zhukov g. k.
жуков георгий константинович,beetles George Konstantinovich
министерство обороны рф,ministry of defense of the russian federation
исаак уолтон,isaac walton
уна-унсо,una-unso
украинская народная самооборона,ukrainian people's self-defense
украинская национальная ассамблея — украинская народная самооборона,ukrainian national assembly - ukrainian people’s self-defense
украинская национальная ассамблея — украинская национальная самооборона,ukrainian national assembly - ukrainian national self-defense
уна - унсо,una - unso
уна — унсо,una - unso
унсо,unso
анна виктория герман,anna victoria herman
герман анна,German Anna
донец северский,donets seversky
сев. донец,north donets
северной донец,north donets
сиверский донец,siversky donets
сиргис,sirgis
президиум верховного совета ссср,presidium of the supreme soviet of the ussr
пвс ссср,pvs ussr
президиум вс ссср,presidium of the ussr armed forces
восточная европа,eastern europe
выходна европа,exit europe
хибиногорск,khibinogorsk
ангелина сербская,angelina serbian
кірґістан,kіrстаніstan
kirghistan,kirghistan
киргизская республика,kyrgyz republic
кыргызская республика,republic of kyrgyzstan
региональный совет италии,italian regional council
польская военная организация,polish military organization
пов,stand
польская войсковая организация,polish military organization
польская организация войскова,polish organization of the army
польская организация войсковая,polish troop organization
орджоникидзевский район хакасии,ordzhonikidze district of khakassia
большой лебовски,greater lebowski
odetta,odetta
одетта холмс,odette holmes
саломея,salome
вячеслав алексеевич никонов,vyacheslav alekseevich nikonov
вячеслав никонов,vyacheslav nikonov
никонов вячеслав алексеевич,Nikonov Vyacheslav Alekseevich
ницца,nice
андерс расмуссен,anders rasmussen
расмуссен а.,rasmussen a.
расмуссен а. ф.,rasmussen a.f.
расмуссен андерс фог,rasmussen anders foog
республика сьерра леоне,republic of sierra leone
республика сьерра-леоне,republic of sierra leone
сьерра леоне,sierra leone
махаюга,mahayuga
виталий владимирович кличко,vitaly vladimirovich klitschko
кличко в.,klitschko v.
кличко в. в.,klitschko v.v.
кличко виталий,Klitschko Vitaly
кличко виталий владимирович,Klitschko Vitaly Vladimir
еґіпет,eupet
eghiptu,eghiptu
арабская республика египет,arab republic of egypt
войскова справа,troops on the right
вооружённые силы,military establishment
кромвель о.,cromwell o.
кромвель оливер,cromwell oliver
оливер кромвель,oliver cromwell
fiat,fiat
балканский полуостров,balkan peninsula
юго-восточная европа,southeast europe
германска демократична република,germansk is democratic republic
ddr,ddr
восточная германия,east germany
германская демократическая республика,german democratic republic
світова орґанізація охороны здоровя,svitovo orґanіzatsya okhorony zdorovya
всемирная организация здравоохранения,world health organization
николай алексеевич клюев,nikolay alekseevich klyuev
клюев николай алексеевич,klyuev nikolay alekseevich
николай клюев,nikolay klyuev
ураган (рсзо),hurricane (mlrs)
бм-27,bm-27
лисичаньск,lysychansk
порт-о-пренс,port-au-prince
столица гаити,capital of haiti
canada,canada
национальная фашистская партия,national fascist party
агентство сша по международному развитию,united states agency for international development
usaid,usaid
агентство международного развития сша,us agency for international development
агентство по международному развитию сша,united states agency for international development
юсаид,usaid
бутусов в. п.,butusov v.p.
бутусов василий павлович,Butusov Vasily Pavlovich
василий бутусов,vasily butusov
василий павлович бутусов,vasily pavlovich butusov
парламент германии,german parliament
бундестаг германии,german bundestag
бундестаг фрг,german bundestag
германский бундестаг,german bundestag
немецкий парламент,german parliament
ольга николаевна,olga nikolaevna
великая княжна ольга,grand princess olga
великая княжна ольга николаевна,great princess olga nikolaevna
ольга николаевна романова,olga nikolaevna romanova
головне місто,head misto
столица государства,state capital
в. наливайченко,v. nalyvaychenko
в.а. наливайченко,v.a. nalyvaychenko
валентин александрович наливайченко,valentin aleksandrovich nalyvaichenko
наливайченко в.,nalyvaychenko v.
наливайченко в.а.,nalyvaychenko v.a.
наливайченко валентин,nalivaychenko valentin
наливайченко валентин александрович,Nalivaychenko Valentin Aleksandrovich
малкольм тернбулл,malcolm turnbull
военно-морской флот российской федерации,navy of the russian federation
вмс россии,russian navy
вмф вс россии,russian navy
вмф российской федерации,russian navy
вмф рф,russian navy
военно-морские силы россии,russian navy
военно-морской флот,navy
военно-морской флот рф,russian navy
российский флот,russian fleet
парана,parana
празеодим,praseodymium
praseodimu,praseodimu
pr,pr
international civil aviation organization,international civil aviation organization
абвер,abwehr
александр петрович баркашов,alexander petrovich barkashov
баркашов а.,barkashov a.
баркашов а. п.,barkashov a.p.
баркашов александр,Barkashov Alexander
баркашов александр петрович,barkashov alexander petrovich
движение «александр баркашов»,"movement ""alexander barkashov"""
фенилаланин,phenylalanine
фениланин,phenylanin
іспанія,ispania
ispania,ispania
испания,spain
эспанья,espana
королевство испания,the kingdom of spain
техсил,tehsil
талук,taluk
талука,taluka
талуки,taluki
техсилы,technical strengths
соул,soul
seoul,seoul
кэйдзё,keijo
столица кореи,the capital of korea
столица республики корея,the capital of the republic of korea
столица южной кореи,the capital of south korea
лига польских семей,league of polish families
иосиф виссарионович сталин,joseph vissarionovich stalin
осиф сталін,osif stalin
товарищ сталин,comrade stalin
иосиф виссарионович джугашвили,iosif vissarionovich dzhugashvili
вождь народов,leader of nations
генералиссимус сталин,generalissimo stalin
дядя джо,uncle joe
и. в. сталин,i. v. stalin
ио́сиф виссарио́нович ста́лин,joseph vissarionovich stalin
иосиф джугашвили,iosif dzhugashvili
отец народов,father of nations
сталин (джугашвили) иосиф виссарионович,stalin (dzhugashvili) joseph vissarionovich
сталин и.,stalin i.
сталин и. в.,stalin i.v.
сталин иосиф виссарионович,stalin joseph vissarionovich
артем григорьевич лагута,artem g. laguta
артём григорьевич лагута,artyom g. laguta
артем лагута,artem laguta
артём лагута,artyom laguta
raidió teilifís éireann,raidió teilifís éireann
radio telefís éireann,radio telefís éireann
rté,rté
рте,rte
чита-46,chita-46
андрей первозванный,andrew pervozvanny
sâm-andrei,sâm-andrei
апостол андрей первозванный,apostle andrew the first-called
святой андрей,saint andrew
святой андрей первозванный,saint andrew the first called
апостол андрей,apostle andrew
сергей александрович,sergey aleksandrovich
сергей александрович (князь),sergey alexandrovich (prince)
сергей александрович романов,sergey alexandrovich romanov
никколо макиавелли,niccolo machiavelli
нікколо макіавеллі,niccolo macavell
павел киселёв,pavel kiselyov
киселев п.,kiselev p.
киселёв п.,kiselev p.
киселев п. д.,p. kiselev
киселёв п. д.,p. d. kiselev
киселев павел дмитриевич,Kiselev Pavel Dmitrievich
киселёв павел дмитриевич,Kiselev Pavel Dmitrievich
павел дмитриевич киселев,pavel dmitrievich kiselev
павел дмитриевич киселёв,pavel dmitrievich kiselyov
павел киселев,pavel kiselev
сектор газа,gaza strip
пражская весна,prague spring
пражска ярь,prague yar
пражская весна 1968 г.,prague spring 1968
эн би си,nb bi
сергей анатольевич петренко,sergey anatolyevich petrenko
площадь тахрир,tahrir square
площадь исмаилия,ismailia square
площадь освобождения,liberation square
эбро,ebro
вооружённые силы украины,armed forces of ukraine
армия современной украины,army of modern ukraine
армия украины,army of ukraine
вооруженные силы украины,armed forces of ukraine
современная украинская армия,modern ukrainian army
хьюберт пэрри,hubert parry
пэрри хьюберт,perry hubert
андрей николаевич шевченко,andrey nikolaevich shevchenko
шевченко а.,shevchenko a.
шевченко а. н.,shevchenko a.n.
шевченко андрей николаевич,Shevchenko Andrei Nikolaevich
питерсберг,petersberg
союз штатов,state union
капитолийский холм,capitol hill
анжелика исааковна балабанова,angelica isaakovna balabanova
анжелика балабанова,angelica balabanova
балабанова а.,balabanova a.
балабанова а. и.,balabanova a.i.
балабанова анжелика исааковна,balabanova angelika isaakovna
государственная дума,the state duma
гд,dg
гд фс рф,state duma of the russian federation
госдума россии,russian state duma
госдума рф,rf state duma
госуда́рственная ду́ма,the state duma
государственная дума россии,state duma of russia
государственная дума российской федерации,state duma of the russian federation
государственная дума рф,state duma of the russian federation
государственная дума федерального собрания российской федерации,state duma of the federal assembly of the russian federation
amazon,amazon
amazon.com,amazon.com
начос,nachos
кох э.,koh e.
кох эрих,koh erih
эрих кох,erich koch
государство алания,state of alanya
республика южная осетия,republic of south ossetia
рюо,south ossetia
южная осетия-алания,south ossetia-alania
южно-осетинская советская демократическая республика,south ossetian soviet democratic republic
юо,so
юосдр,yosdr
самачабло,samachablo
цхинвальский регион,tskhinvali region
алания,alanya
сомальско,somalsko
федеративная республика сомали,federal republic of somalia
грибаускайте,grybauskaite
грибаускайте даля,Grybauskaite Dahl
луан,luan
моя родина,my motherland
служба столичной полиции,metropolitan police service
инвест-активист,investment activist
франкенштейн,frankenstein
львовская область,lviv region
львівска область,lviv region
львовщина,lviv
грушевый сидр,pear cider
марк твейн,mark twain
марк твен,mark twain
сэмюэл лэнгхорн клеменс,samuel langhorn clemens
тиса,yew
тіса,tisa
ню йорк,nyu york
new york city,new york city
большое яблоко,big apple
нью-йорк сити,new york city
борджиа,borgia
герцоги гандиа,dukes of gandia
кобзари,kobzari
юго-восточная англия,south east england
абхазия,abkhazia
авагос,avagos
апсны,apsny
сибирия,siberia
берег реки,bank of the river
берег канала,canal bank
дмитрий анатольевич медведев,dmitry anatolyevich medvedev
д. а. медведев,d.a. medvedev
д. медведев,d. medvedev
дми́трий анато́льевич медве́дев,dmitry anatolievich medvedev
медведев д.,medvedev d.
медведев д. а.,d.a. medvedev
медведев д.а.,medvedev d.a.
медведев дмитрий анатольевич,dmitry medvedev
александр викторович янукович,alexander viktorovich yanukovich
острого́жск,ostrogozhsk
вопд «русское национальное единство»,"vopd ""russian national unity"""
вопд рне,witn rne
рне вопд,rne wit
ruta,ruta
хорватия,croatia
хорватія,croatia
croatia,croatia
республика хорватия,republic of croatia
croația,croația
али ибн абу талиб,ali ibn abu talib
абу ал-хасан,abu al-hasan
али бен-аби-талеб,ali ben abi-taleb
имам али,imam ali
имам али ибн абу талиб,imam ali ibn abu talib
первый имам,first imam
четвёртый халиф,fourth caliph
али,ali
кулон,pendant
кл,cl
донско́й,don
донской (тульская область),donskoy (tula region)
андора,andora
andorra,andorra
андорра,andorra
княжество андорра,principality of andorra
верховный суд сша,us supreme court
либерально-демократическая партия россии,liberal democratic party of russia
блок жириновского,zhirinovsky block
партия жириновского,zhirinovsky party
политическая партия лдпр,political party ldpr
гвозди,nails
служба безопасности рейхсфюрера сс,security service of the reichsführer ss
сд,sd
олег вещий,oleg veshchy
александр македонский,alexander the great
александер великый,alexander the great
alexandru machedon,alexandru machedon
искандер,iskander
александр великий,alexander the great
александр iii великий,alexander iii the great
мао цзэдун,mao zedong
мао цзедун,mao zedong
мао чжуси,mao zhusi
председатель мао,chairman mao
пп ср,pp cp
справедливая россия、ср,fair russia 、 sr
справедливая россия: родина/пенсионеры/жизнь,fair russia: homeland / pensioners / life
ср-рпж,ср-рпж
эсеры,social revolutionaries
эльзас,alsace
alsace,alsace
воздушное судно,aircraft
летадло,letadlo
воздушное средство,air tool
летательный аппарат,aircraft
виталий (устинов),vitaly (ustinov)
министерство иностранных дел польши,ministry of foreign affairs of poland
министерство внутренних дел ирана,iran's ministry of the interior
гамбург,hamburg
hamburg,hamburg
хамбург,hamburg
вольный и ганзейский город гамбург,free and hanseatic city of hamburg
свободный и ганзейский город гамбург,free and hanseatic city hamburg
джонатан харрис,jonathan harris
зугрэс,zugres
виталий иванович чуркин,vitaly ivanovich churkin
в. и. чуркин,v.i. churkin
вита́лий ива́нович чу́ркин,vitaly ivanovich churkin
чуркин в. и.,churkin v.i.
чуркин виталий иванович,Churkin Vitaly Ivanovich
сергей александрович аксенов,sergey alexandrovich aksenov
гельмут коль,helmut kohl
пентагон (сша),pentagon (usa)
поль валери,paul valery
валери п.,valerie p.
валери поль,valery paul
фредерик аштон,frederick ashton
эд,ed
майами марлинс,miami marlins
florida marlins,florida marlins
флорида марлинс,florida marlins
флорида мэрлинс,florida marlins
ancara,ancara
владимир владимирович бут,vladimir vladimirovich booth
бут в.,booth v.
бут в. в.,but v. v.
бут владимир,bout vladimir
бут владимир владимирович,but vladimir vladimirovich
владимир бут,vladimir bout
оттавский университет,university of ottawa
роберт скотт,robert scott
роберт фалкон скотт,robert falcon scott
роберт фолкон скотт,robert falcon scott
скотт р. ф.,scott r.f.
скотт роберт фалкон,Scott Robert Falcon
скотт роберт фолкон,scott robert folcon
дубаи,dubai
дубай (город),dubai (city)
вазиристан,waziristan
waziristan,waziristan
исламский эмират вазиристан,islamic emirate waziristan
исламский эмират вазиристана,islamic emirate of waziristan
николай i,nikolay i
николай 1,nikolay 1
николай i павлович,Nikolai I Pavlovich
николай павлович,nikolay pavlovich
николай палкин,nikolay palkin
николай первый,nicholas i
блок петра порошенко «солидарность»,petro poroshenko’s block “solidarity”
солидарность,solidarity
блок петра порошенко,petro poroshenko's block
бпп,bpp
волноваха,volnovakha
рон пол,ron paul
ottawa,ottawa
оттава,ottawa
алексеево-орловка,alekseevo-orlovka
бирмингем,birmingham
birmingham,birmingham
сухой,dry
ахк «сухой»,"ahk ""sukhoi"""
кб «сухой»,cb sukhoi
ммз имени п. о. сухого,mmp named after p. o. sukhoi
оао «ахк „сухой“»,"jsc ""ahk"" sukhoi """""
"окб ""сухой""","okb ""dry"""
окб «сухой»,"okb ""sukhoi"""
пао «компания „сухой“»,"pjsc ""company"" sukhoi """""
лестер,leicester
leicester,leicester
лейчестер,leicester
павел анатольевич климкин,pavel anatolyevich klimkin
нср,nds
боннская республика,bonn republic
западная германия,west germany
федеративная республика германии,federal republic of germany
умеренная коалиционная партия,moderate coalition party
умеренная коалиционная партия швеции,moderate coalition party of sweden
крымский кризис,crimean crisis
волнения в крыму (2014),unrest in the crimea (2014)
александр иванович коновалов,alexander ivanovich konovalov
воздушный корпус армии сша,us army air corps
кинематограф сша,us cinema
американский кинематограф,american cinema
голливудский кинематограф,hollywood cinema
голливудское кино,hollywood movies
кино сша,us cinema
никита сергеевич хрущёв,nikita sergeevich khrushchev
хрущев,khrushchev
хрущёв,khrushchev
н. с. хрущев,n. s. khrushchev
н. с. хрущёв,n. s. khrushchev
н. хрущев,n. khrushchev
н.с. хрущев,n.s. khrushchev
н.с.хрущёв,n.s. khrushchev
никита сергеевич хрущев,nikita sergeevich khrushchev
ники́та серге́евич хрущёв,nikita s. khrushchev
никита хрущев,nikita khrushchev
никита хрущёв,nikita khrushchev
хрущев н.,khrushchev n.
хрущёв н.,khrushchev n.
хрущев н. с.,khrushchev n. s.
хрущёв н. с.,khrushchev n. s.
хрущев никита,Khrushchev Nikita
хрущёв никита,Khruschev Nikita
хрущев никита сергеевич,Khrushchev Nikita Sergeevich
хрущёв никита сергеевич,Khrushchev Nikita Sergeevich
netflix,netflix
заслон,barrier
монтесума ii,moctezuma ii
черногория,montenegro
чорна гора,chorna gora
montenegro,montenegro
crna gora,crna gora
црна гора,crna gora
алексей михайлович,alexey mikhailovich
алексей михаилович,alexey mikhailovich
алексей михайлович тишайший,alexey mikhailovich tishayshiy
станция метрополитена,metro station
станция подземки,underground station
михаил сергеевич горбачёв,mikhail sergeyevich gorbachev
гмс,hms
горби,gorby
gorby,gorby
горбачев,gorbachev
горбачев м.,gorbachev m.
горбачёв м.,gorbachev m.
горбачев м. с.,gorbachev m.s.
горбачёв м. с.,Gorbachev m.
горбачев михаил,Gorbachev Mikhail
горбачев михаил сергеевич,Gorbachev Mikhail Sergeevich
горбачёв михаил сергеевич,Gorbachev Mikhail Sergeevich
м. с. горбачев,m. s. gorbachev
м. с. горбачёв,m. s. gorbachev
м.с.горбачев,m.s.gorbachev
михаил горбачев,mikhail gorbachev
михаил горбачёв,mikhail gorbachev
михаил сергеевич горбачев,mikhail sergeyevich gorbachev
миша горбачев,misha gorbachev
иата,iata
франциск i,francis i
франсуа i,francois i
франциск i французский,francis i french
франциска i,francis i
югославія,yugoslavia
рабоче-крестьянская красная армия,workers and peasants red army
ка,ka
красноармеец,red army man
красноармейцы,red army men
ркка,red army
марсэ,marsay
интер,inter
интер запрешич,inter zapresic
интер-запрешич,inter-zapresic
русская православная церковь,russian orthodox church
православная кафолическая греко-российская церковь,orthodox catholic greek-russian church
рпц мп,roc mp
русская православная церквь,russian orthodox church
русское православие,russian orthodoxy
екатеринбург,yekaterinburg
екатеринбу́рг,yekaterinburg
бермудские острова,bermuda
бермуды,bermuda
анатолий брусникин,anatoly brusnikin
анна борисова,anna borisova
григорий шалвович чхартишвили,grigory shalvovich chkhartishvili
чхартишвили григорий шалвович,chkhartishvili grigory shalvovich
казаки,cossacks
казак,cossack
козаки,kozaki
казачество,cossacks
козачество,cossacks
комки,lumps
национальное управление военно-космической разведки сша,us national space defense agency
чеськословеньско,cheskoslovensko
чехословакия,czechoslovakia
чехо-словакия,czecho-slovakia
чехия и словакия,czech republic and slovakia
чехословацкая сср,czechoslovak ssr
чехословацкая федеративная республика,czechoslovak federal republic
чешская и словацкая федеративная республика,czech and slovak federal republic
чешско-словацкая социалистическая республика,czech-slovak socialist republic
чешско-словацкая федеративная республика,czech-slovak federal republic
чсфр,csfr
черноморский флот вмф россии,black sea fleet of the russian navy
черноморский флот российской федерации,black sea fleet of the russian federation
чф россии,black sea fleet of russia
фриц ланг,fritz lang
ланг ф.,lang f.
ланг фриц,lang fritz
